CompleteTime;ReceivedTime;Opdrachtnummer;SS_Fiberhood;SS_reason_underground;SS_reason_wllmnt_N;SS_reason_wllmnt_Y;SS_MDU_LAMKEY;DETAIL_UNIT_ZIPCODE;DETAIL_UNIT_BLOC;DETAIL_UNIT_ETAGE;DETAIL_UNIT_UNIT;DETAIL_UNIT_PROXIMUS;DETAIL_UNIT_REMARKS;DETAIL_UNIT_UTAX;DETAIL_UNIT_TYPE;DETAIL_UNIT_RESIDENT;DETAIL_UNIT_GSM;DETAIL_UNIT_EMAIL
2020-07-07T10:29:44.0000000Z;2020-07-07T10:29:45.3000000Z;321990;;;;;;0001;;0;0001;;;;BU;;;;
2020-07-07T10:29:44.0000000Z;2020-07-07T10:29:45.3000000Z;321990;;;;;;001;;0;001;;Inbraakalarm;;SU;;;;
2020-07-07T10:31:38.6230000Z;2020-07-07T10:31:46.1200000Z;3137254;W03-C-Liege-FH09;;;;3137254;001;901;0;001;;;;LU;;;;
2020-07-07T10:31:38.6230000Z;2020-07-07T10:31:46.1200000Z;3137254;W03-C-Liege-FH09;;;;3137254;101;901;1;101;;;;LU;;;;
2020-07-07T10:31:38.6230000Z;2020-07-07T10:31:46.1200000Z;3137254;W03-C-Liege-FH09;;;;3137254;201;901;2;201;;;;LU;;;;
2020-07-07T11:09:38.0000000Z;2020-07-07T11:09:39.5270000Z;1255570;W01-C-Roeselare-FH02;;;;1255570;001;;0;001;;ACHTER;;LU;;;;
2020-07-07T11:09:38.0000000Z;2020-07-07T11:09:39.5270000Z;1255570;W01-C-Roeselare-FH02;;;;1255570;101;;1;101;;;;LU;;;;
2020-07-07T11:09:38.0000000Z;2020-07-07T11:09:39.5270000Z;1255570;W01-C-Roeselare-FH02;;;;1255570;201;;2;201;;;;LU;;;;
2020-07-07T11:09:38.0000000Z;2020-07-07T11:09:39.5270000Z;1255570;W01-C-Roeselare-FH02;;;;1255570;0000;;0;0000;;LIFT;;SU;;;;
2020-07-07T11:37:33.7300000Z;2020-07-07T11:37:34.3300000Z;3011595;W03-D-Leuven-FH04;;;;3011595;0101;;1;0101;;;;LU;;;;
2020-07-07T11:37:33.7300000Z;2020-07-07T11:37:34.3300000Z;3011595;W03-D-Leuven-FH04;;;;3011595;0202;;2;0202;;;;LU;;;;
2020-07-07T12:05:23.5470000Z;2020-07-07T12:05:24.9030000Z;3923573;W03-D-Leuven-FH04;;;;3923573;001;;0;001;;;;LU;;;;
2020-07-07T12:05:23.5470000Z;2020-07-07T12:05:24.9030000Z;3923573;W03-D-Leuven-FH04;;;;3923573;101;;1;101;;;;LU;;;;
2020-07-07T12:05:23.5470000Z;2020-07-07T12:05:24.9030000Z;3923573;W03-D-Leuven-FH04;;;;3923573;202;;2;202;;;;LU;;;;
2020-07-07T12:16:57.5730000Z;2020-07-07T12:17:09.3230000Z;3127546;W03-C-Liege-FH09;;;;3127546;001;904;0;001;;;;LU;;;;
2020-07-07T12:16:57.5730000Z;2020-07-07T12:17:09.3230000Z;3127546;W03-C-Liege-FH09;;;;3127546;101;904;1;101;;;;LU;;;;
2020-07-07T12:16:57.5730000Z;2020-07-07T12:17:09.3230000Z;3127546;W03-C-Liege-FH09;;;;3127546;201;904;2;201;;;;LU;;;;
2020-07-07T12:16:57.5730000Z;2020-07-07T12:17:09.3230000Z;3127546;W03-C-Liege-FH09;;;;3127546;301;904;3;301;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0001;;0;01;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0101;;1;11;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0201;;2;21;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0301;;3;31;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0401;;4;41;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0501;;5;6;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;0601;;6;61;;;;LU;;;;
2020-07-07T11:34:53.0000000Z;2020-07-07T12:20:34.0570000Z;2768078;W03-C-Knokke-Heist-FH04;;;;2768078;001;;6;001;;Lift;;SU;;;;
2020-07-07T12:27:00.3730000Z;2020-07-07T12:27:14.5930000Z;3127532;W03-C-Liege-FH09;;;;3127532;101;904;1;101;;;;LU;;;;
2020-07-07T12:27:00.3730000Z;2020-07-07T12:27:14.5930000Z;3127532;W03-C-Liege-FH09;;;;3127532;201;904;2;201;;;;LU;;;;
2020-07-07T12:27:00.3730000Z;2020-07-07T12:27:14.5930000Z;3127532;W03-C-Liege-FH09;;;;3127532;301;904;3;301;;;;LU;;;;
2020-07-07T12:29:34.5570000Z;2020-07-07T12:29:38.9600000Z;2029024;W03-C-Antwerpen-West-FH03;;;;2029024;0;;0;0001;;;;LU;;;;
2020-07-07T12:29:34.5570000Z;2020-07-07T12:29:38.9600000Z;2029024;W03-C-Antwerpen-West-FH03;;;;2029024;1;;1;0101;;;;LU;;;;
2020-07-07T12:29:34.5570000Z;2020-07-07T12:29:38.9600000Z;2029024;W03-C-Antwerpen-West-FH03;;;;2029024;2;;2;0201;;;;LU;;;;
2020-07-07T12:29:34.5570000Z;2020-07-07T12:29:38.9600000Z;2029024;W03-C-Antwerpen-West-FH03;;;;2029024;3;;3;0301;;;;LU;;;;
2020-07-07T12:34:40.5330000Z;2020-07-07T12:34:42.1530000Z;3093410;W03-C-Liege-FH09;;;;3093410;001;904;0;001;;;;LU;;;;
2020-07-07T12:34:40.5330000Z;2020-07-07T12:34:42.1530000Z;3093410;W03-C-Liege-FH09;;;;3093410;301;904;3;301;;;;LU;;;;
2020-07-07T12:39:45.5130000Z;2020-07-07T12:39:47.2030000Z;3137247;W03-C-Liege-FH09;;;;3137247;001;901;0;001;;;;LU;;;;
2020-07-07T12:39:45.5130000Z;2020-07-07T12:39:47.2030000Z;3137247;W03-C-Liege-FH09;;;;3137247;101;901;1;101;;;;LU;;;;
2020-07-07T12:39:45.5130000Z;2020-07-07T12:39:47.2030000Z;3137247;W03-C-Liege-FH09;;;;3137247;201;901;2;201;;;;LU;;;;
2020-07-07T12:45:49.1600000Z;2020-07-07T12:45:52.4900000Z;2762036;W03-C-Liege-FH09;;;;2762036;001;904;0;001;;;;LU;;;;
2020-07-07T12:45:49.1600000Z;2020-07-07T12:45:52.4900000Z;2762036;W03-C-Liege-FH09;;;;2762036;101;904;1;101;;;;LU;;;;
