CompleteTime;ReceivedTime;Opdrachtnummer;SS_Fiberhood;SS_reason_underground;SS_reason_wllmnt_N;SS_reason_wllmnt_Y;SS_MDU_LAMKEY;DETAIL_UNIT_ZIPCODE;DETAIL_UNIT_BLOC;DETAIL_UNIT_ETAGE;DETAIL_UNIT_UNIT;DETAIL_UNIT_PROXIMUS;DETAIL_UNIT_REMARKS;DETAIL_UNIT_UTAX;DETAIL_UNIT_TYPE;DETAIL_UNIT_RESIDENT;DETAIL_UNIT_GSM;DETAIL_UNIT_EMAIL
2020-06-26T09:29:33.0000000Z;2020-06-26T09:29:34.3800000Z;1680303;W03-C-Schaerbeek-FH04;;;;1680303;001;;0;001;;;;LU;;;;
2020-06-26T09:29:33.0000000Z;2020-06-26T09:29:34.3800000Z;1680303;W03-C-Schaerbeek-FH04;;;;1680303;101;;1;101;;;;LU;;;;
2020-06-26T09:29:33.0000000Z;2020-06-26T09:29:34.3800000Z;1680303;W03-C-Schaerbeek-FH04;;;;1680303;201;;201;1;;;;LU;;;;
2020-06-26T09:29:33.0000000Z;2020-06-26T09:29:34.3800000Z;1680303;W03-C-Schaerbeek-FH04;;;;1680303;301;;3;301;;;;LU;;;;
2020-06-26T09:34:38.0000000Z;2020-06-26T09:34:39.9630000Z;947836;W03-C-Schaerbeek-FH04;;;;947836;001;;0;001;;;;BU;;;;
2020-06-26T09:34:38.0000000Z;2020-06-26T09:34:39.9630000Z;947836;W03-C-Schaerbeek-FH04;;;;947836;101;;1;001;;;;LU;;;;
2020-06-26T09:34:38.0000000Z;2020-06-26T09:34:39.9630000Z;947836;W03-C-Schaerbeek-FH04;;;;947836;201;;2;201;;;;LU;;;;
2020-06-26T09:34:38.0000000Z;2020-06-26T09:34:39.9630000Z;947836;W03-C-Schaerbeek-FH04;;;;947836;301;;3;301;;;;LU;;;;
2020-06-26T09:45:03.0000000Z;2020-06-26T09:45:04.6200000Z;1277344;W03-C-Schaerbeek-FH04;;;;1277344;001;;0;001;;;;LU;;;;
2020-06-26T09:45:03.0000000Z;2020-06-26T09:45:04.6200000Z;1277344;W03-C-Schaerbeek-FH04;;;;1277344;101;;1;101;;;;LU;;;;
2020-06-26T09:45:03.0000000Z;2020-06-26T09:45:04.6200000Z;1277344;W03-C-Schaerbeek-FH04;;;;1277344;201;;2;202;;;;LU;;;;
