CompleteTime;ReceivedTime;Opdrachtnummer;SS_Fiberhood;SS_reason_underground;SS_reason_wllmnt_N;SS_reason_wllmnt_Y;SS_MDU_LAMKEY;DETAIL_UNIT_ZIPCODE;DETAIL_UNIT_BLOC;DETAIL_UNIT_ETAGE;DETAIL_UNIT_UNIT;DETAIL_UNIT_PROXIMUS;DETAIL_UNIT_REMARKS;DETAIL_UNIT_UTAX;DETAIL_UNIT_TYPE;DETAIL_UNIT_RESIDENT;DETAIL_UNIT_GSM;DETAIL_UNIT_EMAIL
2020-08-17T07:18:56.8770000Z;2020-08-17T07:18:58.1100000Z;3042478;W03-D-Mechelen-FH02;;;;3042478;0;;0;0001;;;;BU;;;;
2020-08-17T07:18:56.8770000Z;2020-08-17T07:18:58.1100000Z;3042478;W03-D-Mechelen-FH02;;;;3042478;0;;1;0101;;;;LU;;;;
2020-08-17T07:21:32.5930000Z;2020-08-17T07:21:32.4800000Z;3042481;;;;;;0;;0;0002;;;;BU;;;;
2020-08-17T07:21:32.5930000Z;2020-08-17T07:21:32.4800000Z;3042481;;;;;;0;;0;0102;;;;LU;;;;
2020-08-17T09:57:18.8370000Z;2020-08-17T09:57:21.1170000Z;3010957;W02-D-Leuven-FH03;;;;3010957;SU01;320;0;SU01;;Lift;;SU;;;;
2020-08-17T09:57:18.8370000Z;2020-08-17T09:57:21.1170000Z;3010957;W02-D-Leuven-FH03;;;;3010957;SU02;320;0;SU01;;Brandalarm;;SU;;;;
2020-08-17T09:57:18.8370000Z;2020-08-17T09:57:21.1170000Z;3010957;W02-D-Leuven-FH03;;;;3010957;BU01;320;-1;BU01;;Router kelder studio's;;SU;;;;
2020-08-17T09:57:18.8370000Z;2020-08-17T09:57:21.1170000Z;3010957;W02-D-Leuven-FH03;;;;3010957;BU02;320;0;BU02;;Winkel;;BU;;;;
2020-08-17T10:08:07.1200000Z;2020-08-17T10:08:08.3570000Z;109963;W03-C-Antwerpen-West-FH03;;;;109963;0001;;0;1;;;;BU;;;;
2020-08-17T10:08:07.1200000Z;2020-08-17T10:08:08.3570000Z;109963;W03-C-Antwerpen-West-FH03;;;;109963;0101;;1;1;;;;LU;;;;
2020-08-17T10:08:07.1200000Z;2020-08-17T10:08:08.3570000Z;109963;W03-C-Antwerpen-West-FH03;;;;109963;0201;;2;1;;;;LU;;;;
2020-08-17T10:15:47.3270000Z;2020-08-17T10:15:48.5030000Z;2029015;W03-C-Antwerpen-West-FH03;;;;2029015;0001;;0;1;;;;LU;;;;
2020-08-17T10:15:47.3270000Z;2020-08-17T10:15:48.5030000Z;2029015;W03-C-Antwerpen-West-FH03;;;;2029015;0101;;1;1;;;;LU;;;;
2020-08-17T10:15:47.3270000Z;2020-08-17T10:15:48.5030000Z;2029015;W03-C-Antwerpen-West-FH03;;;;2029015;0201;;2;1;;;;LU;;;;
2020-08-17T10:30:38.4370000Z;2020-08-17T10:30:39.5830000Z;2046003;W03-C-Antwerpen-West-FH03;;;;2046003;0001;;0;0001;;;;BU;;;;
2020-08-17T10:30:38.4370000Z;2020-08-17T10:30:39.5830000Z;2046003;W03-C-Antwerpen-West-FH03;;;;2046003;0101;;1;0101;;;;LU;;;;
2020-08-17T10:30:38.4370000Z;2020-08-17T10:30:39.5830000Z;2046003;W03-C-Antwerpen-West-FH03;;;;2046003;0201;;2;0201;;;;LU;;;;
2020-08-17T10:44:36.4800000Z;2020-08-17T10:44:38.8500000Z;1085273;W03-C-Antwerpen-West-FH03;;;;1085273;0;;0;0001;;;;LU;;;;
2020-08-17T10:44:36.4800000Z;2020-08-17T10:44:38.8500000Z;1085273;W03-C-Antwerpen-West-FH03;;;;1085273;1;;1;0101;;;;LU;;;;
2020-08-17T10:44:36.4800000Z;2020-08-17T10:44:38.8500000Z;1085273;W03-C-Antwerpen-West-FH03;;;;1085273;2;;2;0201;;;;LU;;;;
2020-08-17T10:44:36.4800000Z;2020-08-17T10:44:38.8500000Z;1085273;W03-C-Antwerpen-West-FH03;;;;1085273;3;;3;0301;;;;LU;;;;
2020-08-17T10:55:38.5900000Z;2020-08-17T10:55:39.3170000Z;1339877;W03-C-Uccle-FH05;;;;1339877;-01;;-1;-01;;;;SU;;;;
2020-08-17T10:55:38.5900000Z;2020-08-17T10:55:39.3170000Z;1339877;W03-C-Uccle-FH05;;;;1339877;01;;0;01;;;;BU;;;;
2020-08-17T10:55:38.5900000Z;2020-08-17T10:55:39.3170000Z;1339877;W03-C-Uccle-FH05;;;;1339877;02;;0;02;;;;BU;;;;
